player_jersey,player_name,position,goals,assists,points,penalty_minutes,plus_minus,shots_on_goal,blocks,giveaways,takeaways,faceoffs_won_lost,faceoffs_win_pct,powerplay_goals,shorthanded_goals,shots,shots_blocked,faceoffs_won,faceoffs_lost,team,skaters_href,player_id,game_id,minutes_played,shots_against,goals_against,saves,save_percent,goalies_href,season
1,Brooke Wolejko,G,0,0,,0,,,,,,,,,,,,,,Metropolitan Riveters,,456412,420364,59:32,34,2,32,0.941,stats#/player/456412,2022
29,Sonjia Shelly,G,0,0,,0,,,,,,,,,,,,,,Metropolitan Riveters,,456411,420364,00:00,0,0,0,0,stats#/player/456411,2022
17,Cassidy MacPherson,F,0,1,1,0,0,3,0,0,1,10 - 9,0.526,0,0,3,0,10,9,Buffalo Beauts,stats#/player/431630,431630,420367,,,,,,,2022
34,Claudia Kepler,F,1,0,1,0,0,2,0,1,0,0 - 2,0,0,0,2,0,0,2,Buffalo Beauts,stats#/player/1020524,1020524,420367,,,,,,,2022
2,Samantha Fieseler,D,0,0,0,0,0,0,1,0,0,0 - 0,0,0,0,1,1,0,0,Buffalo Beauts,stats#/player/814845,814845,420367,,,,,,,2022
3,Amy Budde,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,Buffalo Beauts,stats#/player/792391,792391,420367,,,,,,,2022
4,Marie-Jo Pelletier,D,0,0,0,0,0,2,0,1,1,0 - 0,0,0,0,2,0,0,0,Buffalo Beauts,stats#/player/431633,431633,420367,,,,,,,2022
9,Autumn MacDougall,F,0,0,0,0,0,2,0,1,0,0 - 0,0,0,0,2,0,0,0,Buffalo Beauts,stats#/player/632861,632861,420367,,,,,,,2022
13,Dominique Kremer,D,0,0,0,0,-1,2,0,1,0,0 - 0,0,0,0,3,1,0,0,Buffalo Beauts,stats#/player/632881,632881,420367,,,,,,,2022
15,Missy Segall,F,0,0,0,0,0,1,0,0,1,0 - 0,0,0,0,2,1,0,0,Buffalo Beauts,stats#/player/821791,821791,420367,,,,,,,2022
18,Elena Orlando,D,0,0,0,0,0,0,1,1,0,0 - 0,0,0,0,0,0,0,0,Buffalo Beauts,stats#/player/909127,909127,420367,,,,,,,2022
21,Emma Keenan,D,0,0,0,2,-1,6,0,1,0,0 - 0,0,0,0,7,1,0,0,Buffalo Beauts,stats#/player/788423,788423,420367,,,,,,,2022
22,Emilie Harley,F/D,0,0,0,0,0,3,0,1,0,0 - 0,0,0,0,3,0,0,0,Buffalo Beauts,stats#/player/810693,810693,420367,,,,,,,2022
24,Anjelica Diffendal,F,0,0,0,0,0,6,0,0,0,0 - 0,0,0,0,6,0,0,0,Buffalo Beauts,stats#/player/811831,811831,420367,,,,,,,2022
44,Jenna Suokko,F,0,0,0,2,0,2,0,0,0,0 - 0,0,0,0,2,0,0,0,Buffalo Beauts,stats#/player/828439,828439,420367,,,,,,,2022
77,Kennedy Ganser,F,0,0,0,0,-1,3,0,1,0,12 - 7,0.632,0,0,4,1,12,7,Buffalo Beauts,stats#/player/816614,816614,420367,,,,,,,2022
94,Grace Klienbach,F,0,0,0,0,-1,0,0,0,0,2 - 3,0.4,0,0,0,0,2,3,Buffalo Beauts,stats#/player/827706,827706,420367,,,,,,,2022
95,Taylor Accursi,F,0,0,0,0,-1,2,0,0,0,0 - 0,0,0,0,3,1,0,0,Buffalo Beauts,stats#/player/455139,455139,420367,,,,,,,2022
97,Cassidy Vinkle,F,0,0,0,4,-1,3,0,0,0,4 - 5,0.444,0,0,3,0,4,5,Buffalo Beauts,stats#/player/786040,786040,420367,,,,,,,2022
27,Patti Marshall,D,0,3,3,2,3,3,0,0,0,0 - 0,0,0,0,3,0,0,0,Minnesota Whitecaps,stats#/player/949970,949970,420367,,,,,,,2022
9,Allie Thunstrom,F,2,0,2,0,2,8,0,0,2,0 - 0,0,0,0,8,0,0,0,Minnesota Whitecaps,stats#/player/431677,431677,420367,,,,,,,2022
13,Ashleigh Brykaliuk,F,1,1,2,0,1,2,0,0,0,11 - 6,0.647,1,0,2,0,11,6,Minnesota Whitecaps,stats#/player/949961,949961,420367,,,,,,,2022
2,Mak Langei,D,0,1,1,2,0,1,1,0,1,0 - 0,0,0,0,1,0,0,0,Minnesota Whitecaps,stats#/player/949960,949960,420367,,,,,,,2022
16,Lexie Laing,F,0,1,1,0,1,2,0,0,1,2 - 3,0.4,0,0,2,0,2,3,Minnesota Whitecaps,stats#/player/967905,967905,420367,,,,,,,2022
3,Jonna Curtis,F,0,0,0,0,0,1,1,0,1,7 - 5,0.583,0,0,1,0,7,5,Minnesota Whitecaps,stats#/player/431666,431666,420367,,,,,,,2022
4,Chelsey Rosenthal,F,0,0,0,2,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,Minnesota Whitecaps,stats#/player/967939,967939,420367,,,,,,,2022
5,Winnie Brodt-Brown,D,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,Minnesota Whitecaps,stats#/player/967843,967843,420367,,,,,,,2022
