game_id,link,game_type_abbreviation,season_full,game_date,status_abstract_game_state,status_coded_game_state,status_detailed_state,status_status_code,status_start_time_tbd,away_score,away_team_id,away_team_name,away_team_link,home_score,home_team_id,home_team_name,home_team_link,venue_id,venue_name,venue_link,content_link,game_type
2017020861,/api/v1/game/2017020861/feed/live,R,20172018,2018-02-13T00:00:00Z,Final,7,Final,7,FALSE,3,14,Tampa Bay Lightning,/api/v1/teams/14,4,10,Toronto Maple Leafs,/api/v1/teams/10,5015,Air Canada Centre,/api/v1/venues/5015,/api/v1/game/2017020861/content,REG
2017020862,/api/v1/game/2017020862/feed/live,R,20172018,2018-02-13T02:00:00Z,Final,7,Final,7,FALSE,7,13,Florida Panthers,/api/v1/teams/13,5,22,Edmonton Oilers,/api/v1/teams/22,5100,Rogers Place,/api/v1/venues/5100,/api/v1/game/2017020862/content,REG
2017020863,/api/v1/game/2017020863/feed/live,R,20172018,2018-02-13T02:00:00Z,Final,7,Final,7,FALSE,1,16,Chicago Blackhawks,/api/v1/teams/16,6,53,Arizona Coyotes,/api/v1/teams/53,5043,Gila River Arena,/api/v1/venues/5043,/api/v1/game/2017020863/content,REG
2017020864,/api/v1/game/2017020864/feed/live,R,20172018,2018-02-14T00:00:00Z,Final,7,Final,7,FALSE,2,20,Calgary Flames,/api/v1/teams/20,5,6,Boston Bruins,/api/v1/teams/6,5085,TD Garden,/api/v1/venues/5085,/api/v1/game/2017020864/content,REG
2017020865,/api/v1/game/2017020865/feed/live,R,20172018,2018-02-14T00:00:00Z,Final,7,Final,7,FALSE,3,14,Tampa Bay Lightning,/api/v1/teams/14,5,7,Buffalo Sabres,/api/v1/teams/7,5039,KeyBank Center,/api/v1/venues/5039,/api/v1/game/2017020865/content,REG
2017020866,/api/v1/game/2017020866/feed/live,R,20172018,2018-02-14T00:00:00Z,Final,7,Final,7,FALSE,4,29,Columbus Blue Jackets,/api/v1/teams/29,1,2,New York Islanders,/api/v1/teams/2,5026,Barclays Center,/api/v1/venues/5026,/api/v1/game/2017020866/content,REG
2017020867,/api/v1/game/2017020867/feed/live,R,20172018,2018-02-14T00:00:00Z,Final,7,Final,7,FALSE,5,1,New Jersey Devils,/api/v1/teams/1,4,4,Philadelphia Flyers,/api/v1/teams/4,5096,Wells Fargo Center,/api/v1/venues/5096,/api/v1/game/2017020867/content,REG
2017020868,/api/v1/game/2017020868/feed/live,R,20172018,2018-02-14T00:00:00Z,Final,7,Final,7,FALSE,3,9,Ottawa Senators,/api/v1/teams/9,6,5,Pittsburgh Penguins,/api/v1/teams/5,5034,PPG Paints Arena,/api/v1/venues/5034,/api/v1/game/2017020868/content,REG
2017020869,/api/v1/game/2017020869/feed/live,R,20172018,2018-02-14T00:00:00Z,Final,7,Final,7,FALSE,3,26,Los Angeles Kings,/api/v1/teams/26,7,12,Carolina Hurricanes,/api/v1/teams/12,5066,PNC Arena,/api/v1/venues/5066,/api/v1/game/2017020869/content,REG
2017020870,/api/v1/game/2017020870/feed/live,R,20172018,2018-02-14T00:30:00Z,Final,7,Final,7,FALSE,1,24,Anaheim Ducks,/api/v1/teams/24,2,17,Detroit Red Wings,/api/v1/teams/17,5145,Little Caesars Arena,/api/v1/venues/5145,/api/v1/game/2017020870/content,REG
2017020871,/api/v1/game/2017020871/feed/live,R,20172018,2018-02-14T01:00:00Z,Final,7,Final,7,FALSE,3,19,St. Louis Blues,/api/v1/teams/19,4,18,Nashville Predators,/api/v1/teams/18,5030,Bridgestone Arena,/api/v1/venues/5030,/api/v1/game/2017020871/content,REG
